2026-09-06 21:06:22,256 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=2, строка=18); средняя позиция=(78.9, 878.4); время_боя=2828 мс; длительность=301 мс; детекций=15
2026-09-06 21:06:29,949 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=4, строка=18); средняя позиция=(204.8, 882.7); время_боя=4384 мс; длительность=301 мс; детекций=19
2026-09-06 21:07:09,762 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=9, строка=27); средняя позиция=(524.7, 1347.1); время_боя=12232 мс; длительность=301 мс; детекций=19
2026-09-06 21:08:13,024 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=14); средняя позиция=(793.8, 633.8); время_боя=0 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:13,024 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(747.8, 1254.1); время_боя=0 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:13,024 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.0, 87.4); время_боя=0 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:13,025 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.3, 83.8); время_боя=0 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:18,862 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=3, строка=15); средняя позиция=(139.4, 691.7); время_боя=1151 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:19,014 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.0, 87.5); время_боя=1185 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:25,864 | Сыграна карта: musketeer-hero; слот=4; уверенность=0.81; клетка=(столбец=2, строка=22); средняя позиция=(94.6, 1010.0); время_боя=2736 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:32,502 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(816.9, 86.5); время_боя=4188 мс; длительность=300 мс; детекций=7
2026-09-06 21:08:32,649 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(748.1, 1254.6); время_боя=4221 мс; длительность=300 мс; детекций=6
2026-09-06 21:08:36,434 | Сыграна карта: the-log; слот=2; уверенность=0.91; клетка=(столбец=15, строка=15); средняя позиция=(698.9, 711.7); время_боя=5072 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:37,791 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.3, 83.7); время_боя=5389 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:40,706 | Сыграна карта: skeletons; слот=4; уверенность=0.85; клетка=(столбец=5, строка=17); средняя позиция=(226.6, 790.2); время_боя=6039 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:41,861 | Сыграна карта: skeletons; слот=4; уверенность=0.87; клетка=(столбец=4, строка=20); средняя позиция=(186.9, 934.6); время_боя=6273 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:46,562 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=16, строка=27); средняя позиция=(748.1, 1254.6); время_боя=7357 мс; длительность=300 мс; детекций=19
2026-09-06 21:08:48,126 | Сыграна карта: unknown; слот=?; уверенность=0.00; клетка=(столбец=17, строка=2); средняя позиция=(817.3, 83.8); время_боя=7691 мс; длительность=300 мс; детекций=19
